x_px,y_px,x_norm,y_norm,s_px,s_norm
393.06883116883114,310.52077922077916,0.4747208105903758,0.5222757242757243,0.0,0.0
405.9727272727272,294.390909090909,0.4903052261747913,0.5470909090909092,20.656312475043084,0.007391254930634964
420.48961038961033,284.17532467532465,0.5078376937072588,0.5628071928071929,38.407314147658,0.013742929693250154
430.7051948051947,272.88441558441554,0.5201753560449213,0.5801778221778222,53.633698913947875,0.019191244421038974
444.1467532467532,261.5935064935064,0.5364091222786874,0.5975484515484517,71.1881889788004,0.02547260327458009
455.9753246753246,248.151948051948,0.5506948365644017,0.6182277722277723,89.09323283182255,0.03187939750863222
468.8792207792207,235.78571428571425,0.5662792521488172,0.6372527472527474,106.9659570847529,0.03827462712272505
482.8584415584415,225.03246753246745,0.5831623690319342,0.653796203796204,124.60259308287938,0.04458537948660719
491.9987012987012,211.590909090909,0.5942013300708953,0.6744755244755246,140.85743363753397,0.050401696921843195
501.13896103896104,201.37532467532455,0.6052402911098563,0.6901918081918084,154.56518739485495,0.055306614131492314
497.91298701298695,175.56753246753237,0.6013441872137524,0.729896103896104,180.57382148157387,0.06461304020172152
493.6116883116883,157.82467532467524,0.5961493820189472,0.7571928071928073,198.83060515531088,0.07114569420320797
487.1597402597402,139.54415584415574,0.5883571742267394,0.7853166833166835,218.21629642858483,0.0780822946434109
479.09480519480513,115.8870129870129,0.5786169144864797,0.8217122877122879,243.2103674408246,0.08702568910595387
475.3311688311688,96.53116883116876,0.5740714599410252,0.8514905094905096,262.92872593393986,0.09408132474335784
476.9441558441558,78.25064935064927,0.5760195118890771,0.8796143856143858,281.28026863698574,0.10064788548126917
482.8584415584415,65.88441558441548,0.5831623690319342,0.8986393606393608,294.9880223943066,0.10555280269091824
491.4610389610389,54.593506493506425,0.5935519794215446,0.91600999000999,309.182715422701,0.11063195682173078
504.364935064935,45.990909090908985,0.6091363950059602,0.9292447552447554,324.6912684413201,0.11618123717389313
518.3441558441558,42.764935064935,0.626019511889077,0.9342077922077924,339.03788901936764,0.12131475411761479
528.0220779220779,42.764935064935,0.6377078235773888,0.9342077922077924,348.7158110972897,0.1247777143803997
540.3883116883117,45.45324675324673,0.6526428885124537,0.930071928071928,361.3708795401964,0.12930595905810624
554.3675324675324,50.82987012987007,0.6695260053955706,0.9218001998002,376.3484191421554,0.13466523185016488
561.8948051948051,58.894805194805144,0.6786169144864796,0.9093926073926076,387.3803279666682,0.13861267651590622
571.5727272727272,66.95974025974022,0.6903052261747913,0.896985014985015,399.97815926209165,0.14312044056092182
576.9493506493505,86.31558441558434,0.6967987326682977,0.8672067932067933,420.0668820168956,0.15030860017513165
574.7987012987012,106.7467532467532,0.6942013300708951,0.8357742257742258,440.6109310928975,0.1576596849445776
573.7233766233766,122.87662337662334,0.6929026287721939,0.810959040959041,456.77660564003094,0.16344409694201914
570.4974025974026,145.45844155844145,0.68900652487609,0.7762177822177824,479.58768673700985,0.17160637255800165
567.8090909090909,163.73896103896095,0.6857597716293368,0.7480939060939062,498.0648188795033,0.17821787178939646
562.4324675324675,185.24545454545444,0.6792662651358303,0.7150069930069931,520.2332049704866,0.18615017786760696
553.8298701298701,201.37532467532455,0.6688766547462199,0.6901918081918084,538.513724451006,0.19269132503064512
537.6999999999999,218.0428571428571,0.6493961352657004,0.6645494505494507,561.708106291502,0.20099075356362864
524.2584415584415,231.4844155844155,0.6331623690319342,0.6438701298701299,580.7173405389844,0.20779264991028074
514.5805194805195,239.54935064935057,0.6214740573436225,0.6314625374625376,593.3151718344079,0.21230041395529634
503.82727272727266,255.1415584415584,0.6084870443566095,0.6074745254745255,612.2558492133086,0.2190777792394199
490.92337662337656,268.0454545454545,0.5929026287721939,0.5876223776223777,630.5047140908918,0.2256075997322059
473.7181818181818,284.71298701298696,0.5721234079929732,0.56198001998002,654.4593663914565,0.23417906872707672
461.351948051948,296.00389610389607,0.5571883430579082,0.5446093906093907,671.2047647342943,0.24017091786358086
441.4584415584415,315.89740259740256,0.5331623690319341,0.514003996003996,699.3384314205683,0.25023772445662595
418.87662337662334,338.4792207792207,0.5058896417592069,0.4792627372627374,731.2739449563389,0.2616649103190015
387.69220779220774,368.5883116883117,0.4682273040968692,0.432941058941059,774.6216684342039,0.27717562043605026
358.1207792207792,398.1597402597402,0.4325130183825835,0.3874465534465535,816.4419837786654,0.2921397923986849
350.0558441558441,416.9779220779221,0.4227727586423238,0.3584955044955045,836.9155556346892,0.2994656589642385
360.27142857142854,434.1831168831168,0.4351104209799861,0.3320259740259741,856.924975747142,0.3066254424562823
396.2948051948051,431.4948051948052,0.4786169144864796,0.3361618381618382,893.0485232346624,0.3195511933037169
416.1883116883116,417.5155844155844,0.5026428885124536,0.3576683316683317,917.362515383246,0.3282512415126489
441.4584415584415,402.4610389610389,0.5331623690319341,0.3808291708291709,946.7771172417822,0.3387763931476392
461.8896103896103,387.40649350649346,0.5578376937072588,0.4039900099900101,972.155690855181,0.34785737057665267
475.8688311688311,373.4272727272727,0.5747208105903757,0.4254965034965036,991.9252944725628,0.35493134277717087
495.7623376623376,348.15714285714284,0.5987467846163498,0.4643736263736264,1024.0863122465762,0.3664392187101873
514.0428571428571,325.0376623376623,0.6208247066942718,0.4999420579420579,1053.5598219114988,0.37698544877410495
533.9363636363636,297.61688311688306,0.6448506807202459,0.5421278721278722,1087.4368160768893,0.38910733647611173
546.8402597402597,282.0246753246753,0.6604350963046616,0.5661158841158842,1107.6760719548986,0.39634935994866805
